phrase,count
their_lives,170
any_kind,170
good_condition,170
dont_know,169
hip_hop,168
many_others,168
some_sort,167
your_head,167
buyer_beware,167
must_have_been,167
worry_about,166
positive_reviews,166
all_ages,166
christmas_gift,165
most_important,165
being_said,165
greatest_hits,165
worth_buying,164
aside_from,164
after_months,164
who_wants,163
already_know,163
his_wife,163
very_comfortable,162
yet_another,162
went_back,161
worked_well,161
these_headphones,161
save_yourself,160
too_short,160
several_years,160
worth_reading,160
make_sense,159
my_skin,158
growing_up,158
waste_your,158
your_mind,156
short_stories,156
box_set,155
learn_how,155
smaller_than,155
woman_who,154
after_watching,153
come_across,152
send_me,152
satisfied_with,152
very_enjoyable,152
on_sale,151
my_ears,151
for_instance,151
stainless_steel,150
four_stars,150
much_easier,150
without_having,150
find_myself,149
reads_like,149
little_girl,149
no_sense,149
no_reason,148
am_very_happy,147
guy_who,146
wake_up,145
our_own,145
an_absolute,145
good_deal,145
star_rating,144
stand_up,144
product_description,144
was_thrilled,143
for_my_wife,143
even_worse,143
few_pages,143
anyone_who_wants,143
negative_reviews,142
big_deal,142
an_incredible,142
year_old_daughter,141
thoroughly_enjoyed,141
strongly_recommend,141
after_hearing,141
years_later,141
attempt_at,141
your_heart,141
ca_imagine,140
started_reading,140
r_b,140
finally_got,140
harry_potter,140
who_knows,140
forget_about,139
without_being,138
common_sense,138
gon_na,138
year_old_son,137
was_looking_forward,137
extremely_disappointed,137
could_wait,136
started_using,136
last_years,135
clean_up,135
has_changed,135
united_states,135
ca_go_wrong,134
most_likely,134
rip_off,134
my_dad,134
few_years_ago,134
came_across,133
find_yourself,133
star_trek,133
light_weight,133
an_issue,133
big_disappointment,132
ends_up,132
deals_with,132
which_means,131
your_hands,130
if_u,130
each_chapter,130
last_week,130
dont_buy,129
hard_drive,129
excited_about,129
ca_help,129
am_very_pleased,129
great_value,129
all_kinds,129
quick_read,129
go_ahead,129
very_sturdy,129
come_close,128
went_into,128
sounded_like,128
christmas_present,128
whole_lot,128
broke_off,128
wait_until,128
as_opposed,128
your_computer,127
thank_god,127
last_night,127
an_example,127
even_close,126
my_grandson,126
an_american,126
friend_who,126
low_price,125
figure_out_how,125
comes_off,125
new_york,125
may_have_been,125
no_wonder,124
first_chapter,124
go_wrong,124
let_alone,124
her_husband,124
six_months,123
few_hours,123
windows_xp,123
compatible_with,123
wo_be_disappointed,123
free_shipping,122
be_aware,122
cheap_plastic,122
our_daughter,122
credit_card,122
far_too,121
only_complaint,121
thank_you_for,121
difference_between,121
his_father,121
very_durable,120
talks_about,120
another_brand,120
half_way_through,120
reason_why,119
turn_off,119
poorly_made,119
fell_apart,119
worth_watching,119
old_school,118
am_returning,118
civil_war,118
useful_information,117
shows_how,117
stay_away,117
after_listening,117
reviews_here,116
before_purchasing,116
tv_show,115
should_be_ashamed,115
must_admit,115
be_returning,115
anyone_who_likes,115
cell_phone,115
can_relate,114
has_helped,114
save_your,114
title_track,114
her_mother,114
real_world,114
might_have_been,114
very_informative,114
had_hoped,113
no_complaints,113
advertised_as,113
has_gone,113
our_son,113
cheaply_made,113
never_worked,113
an_important,113
my_boyfriend,113
previous_reviewer,113
completely_different,113
recently_purchased,113
zero_stars,112
bigger_than,112
ca_recommend,112
very_satisfied,112
almost_impossible,112
best_friend,112
low_budget,112
picks_up,112
heavy_duty,111
several_months,111
each_song,111
broke_after,111
months_old,111
might_want,111
my_expectations,111
an_artist,111
big_mistake,111
ripped_off,110
to_be_desired,110
or_whatever,110
faster_than,110
held_up,110
very_excited,110
both_sides,110
ever_written,110
who_loves,110
starts_out,110
any_problems,109
other_reviewer,109
your_hair,109
figured_out,109
picking_up,109
his_birthday,108
exact_same,108
absolutely_nothing,108
very_frustrating,108
too_late,108
goes_into,108
blu_ray,108
what_else,108
stephen_king,108
our_family,107
your_face,107
wonder_why,107
he_wrote,107
video_quality,107
far_better,106
ever_owned,106
cheaper_than,106
enjoyed_reading,106
he_wants,106
extra_money,106
by_saying,106
their_products,106
fall_off,106
special_features,105
impressed_by,105
an_enjoyable,105
friends_who,105
apart_from,104
comment_on,104
fell_off,104
reminded_me_of,104
did_realize,104
worth_every_penny,103
thank_goodness,103
my_favorites,103
bad_reviews,103
starts_off,103
combined_with,103
point_where,102
know_why,102
associated_with,102
my_girlfriend,102
new_ones,102
an_outstanding,102
ca_tell,102
everyone_should,102
customer_support,101
top_notch,101
ca_beat,101
sure_why,101
be_warned,100
quality_control,100
takes_place,100
your_eyes,100
gives_us,100
every_page,100
poorly_designed,99
especially_since,99
very_thin,99
great_condition,99
absolutely_loved,99
well_known,99
bad_guys,98
young_children,98
these_shoes,98
be_prepared,97
focuses_on,97
different_brand,97
my_desk,97
two_hours,97
unless_you_want,97
ice_cream,97
many_years_ago,97
grew_up,97
living_room,97
our_lives,96
recommend_buying,96
month_ago,96
tv_series,96
whole_family,96
larger_than,96
second_half,96
am_sorry,96
de_la,96
very_dissapointed,96
excellent_condition,96
messed_up,96
works_perfectly,95
got_ta,95
at_all_costs,95
figure_out_what,95
suitable_for,94
big_enough,94
turned_off,94
in_spite,94
an_avid,94
martial_arts,94
three_years,93
kindle_version,93
gone_through,93
who_cares,93
five_minutes,93
strong_enough,93
wo_regret,93
year_olds,93
digital_camera,93
other_brands,93
wonder_how,93
fast_paced,93
story_lines,92
quit_working,92
perfect_size,92
our_house,92
timely_manner,92
sit_through,92
ca_stand,92
disagree_with,92
no_exception,92
knows_how,92
no_response,91
take_care,91
focused_on,91
memory_card,91
comes_across,90
die_hard,90
classical_music,90
ca_stop,90
still_waiting,90
ask_me,90
really_looking_forward,89
their_website,89
three_months,89
surprised_by,89
halfway_through,89
my_favourite,89
spend_your_money,89
local_store,89
far_away,89
girl_who,88
past_years,88
reasonable_price,88
less_expensive,88
turned_into,88
beautifully_written,88
grow_up,88
shut_off,88
sex_scenes,88
hot_water,87
job_done,87
far_superior,87
pointed_out,87
in_new_york,87
looks_nice,87
think_twice,87
car_seat,87
has_created,87
only_drawback,87
many_ways,87
pay_attention,87
would_recomend,87
country_music,87
directly_from,87
within_minutes,86
five_star,86
responsible_for,86
fall_out,86
right_size,86
dealt_with,86
somewhere_else,86
produced_by,86
an_option,85
to_get_rid,85
concerned_about,85
ten_years,85
your_body,85
telling_me,85
caught_up,85
time_period,84
as_gifts,84
heavy_metal,84
could_possibly,84
pink_floyd,84
background_music,84
oh_yeah,84
new_age,84
title_says,84
etc_etc,83
whole_series,83
star_because,83
worst_movies,83
simply_put,83
few_seconds,83
her_birthday,83
last_longer,83
lead_singer,83
five_years,83
rely_on,83
these_speakers,83
hard_rock,82
i_was_pleasantly,82
high_expectations,82
followed_by,82
original_version,82
user_friendly,82
much_cheaper,82
more_advanced,81
had_high_hopes,81
wanting_more,81
thought_provoking,81
wonder_what,81
has_gotten,81
family_members,81
even_bother,81
he_writes,80
different_types,80
hands_down,80
young_man,80
any_sense,80
sit_down,80
asked_me,80
well_researched,80
women_who,80
full_refund,80
stop_reading,80
dvd_players,79
loaded_with,79
big_screen,79
nothing_special,79
as_promised,79
huge_disappointment,79
her_father,79
kept_waiting,79
my_daughters,79
local_library,79
cut_off,79
identify_with,78
can_hardly,78
few_months_ago,78
about_an_hour,78
looked_forward,78
too_high,78
probably_wo,78
wondering_what,78
hooked_up,78
shortly_after,78
an_insult,78
totally_different,78
low_quality,78
horror_movie,78
an_attempt,78
technical_support,78
an_email,77
young_woman,77
stopped_working_after,77
young_girl,77
already_been,77
every_night,77
jane_austen,77
nice_looking,77
on_ebay,77
pretty_cool,77
yr_old,76
his_career,76
worn_out,76
three_weeks,76
bad_acting,76
let_me_tell,76
go_away,76
plot_twists,75
months_later,75
your_ears,75
perfect_condition,75
an_error,75
every_year,75
my_granddaughter,75
under_warranty,75
your_attention,75
too_fast,75
multiple_times,75
ran_out,75
ca_seem,75
return_policy,75
step_by_step,75
pop_music,74
laugh_out_loud,74
relationship_between,74
do_be_fooled,74
drawn_out,74
world_war,74
modern_day,74
lasted_about,74
anyone_who_loves,74
finally_found,74
buy_something_else,73
an_introduction,73
seller_again,73
several_years_ago,73
wonderful_job,73
no_luck,73
our_children,73
she_writes,72
goes_through,72
each_page,72
does_matter,72
finished_reading,72
an_expert,72
false_advertising,72
stands_out,72
complain_about,72
required_reading,72
little_boy,72
soap_opera,72
he_thinks,72
allow_me,72
nothing_wrong,72
liner_notes,71
entire_series,71
dont_think,71
worked_perfectly,71
an_average,71
anybody_who,71
most_recent,71
worst_part,70
nowhere_near,70
to_no_avail,70
well_developed,70
get_rid,70
two_albums,70
my_niece,70
work_properly,70
was_delighted,70
could_barely,70
fall_apart,70
should_be_able,70
arrived_quickly,70
days_later,69
too_heavy,69
weeks_ago,69
am_looking_forward,69
sorely_disappointed,69
wan_na,69
resulting_in,69
don_t,69
last_page,69
wondering_if,69
worried_about,69
large_enough,68
four_times,68
sing_along,68
within_days,68
fall_asleep,68
reasonably_priced,68
ever_played,68
she_wants,68
three_days,68
main_reason,68
consider_myself,68
coffee_table,68
digital_copy,68
par_with,68
straight_forward,68
who_wrote,68
kept_reading,67
blown_away,67
he_knows,67
thus_far,67
rave_reviews,67
would_advise,67
never_knew,67
green_day,67
two_years_ago,67
an_additional,67
ten_minutes,67
be_considered,66
litter_box,66
middle_school,66
my_grandchildren,66
may_seem,66
world_war_ii,66
force_myself,66
historical_fiction,66
focusing_on,66
too_expensive,66
well_designed,66
your_seat,66
smells_like,66
small_size,66
heat_up,65
next_year,65
not_necessarily,65
only_downside,65
all_sorts,65
guitar_playing,65
lost_interest,65
power_supply,65
star_reviews,65
happen_next,65
worth_listening,65
open_mind,65
move_around,65
obsessed_with,64
knows_what,64
several_weeks,64
glowing_reviews,64
stars_instead,64
personal_favorite,64
very_unhappy,64
fairy_tale,64
almost_immediately,64
small_town,64
burned_out,64
some_cases,64
ca_remember,64
brought_back,63
grew_up_in,63
let_go,63
keep_looking,63
realize_how,63
his_brother,63
well_organized,63
their_customer_service,63
an_incredibly,63
anywhere_else,63
get_bored,63
makes_sense,63
cover_art,63
jesus_christ,63
fits_perfectly,63
more_recent,63
insights_into,63
better_luck,63
romance_novel,62
any_sort,62
my_nephew,62
home_theater,62
pretty_sure,62
very_misleading,62
hook_up,62
recently_bought,62
only_lasted,62
few_dollars,62
real_deal,62
design_flaw,62
starting_point,62
long_ago,62
already_own,62
old_fashioned,62
study_guide,62
loud_enough,62
video_games,61
about_seconds,61
amazed_at,61
american_history,61
aimed_at,61
save_money,61
your_skin,61
build_up,61
remind_me,61
real_estate,61
long_term,61
death_metal,61
falling_off,61
usb_port,61
your_feet,61
your_local,61
plot_line,61
honestly_say,61
saved_me,61
wo_be_able,61
human_being,61
will_likely,61
native_american,61
holds_up,61
at_walmart,60
absolutely_loves,60
depends_on,60
am_currently,60
even_remotely,60
no_further,60
coming_back,60
an_alternative,60
throw_away,60
special_edition,60
readers_who,60
different_ways,60
benefit_from,60
first_few_chapters,60
very_careful,59
wont_be,59
dealing_with_the,59
an_inch,59
ended_up_buying,59
your_ear,59
would_reccomend,59
bring_back,59
left_behind,59
very_upset,59
god_bless,59
more_mature,59
wide_range,59
talked_about,58
mainly_because,58
less_than_minutes,58
poor_design,58
well_built,58
higher_than,58
final_fantasy,58
sit_back,58
finally_gave,58
scene_where,58
several_different,58
my_fingers,58
previous_reviews,58
your_typical,58
could_relate,58
very_cheaply,58
suffers_from,58
long_time_ago,58
couple_months,58
days_ago,58
our_local,57
britney_spears,57
after_spending,57
my_sons,57
previous_albums,57
lower_than,57
for_dummies,57
sat_down,57
walk_away,57
has_proven,57
after_receiving,57
these_sheets,57
should_stick,57
but_alas,56
james_bond,56
steer_clear,56
would_have_preferred,56
anywhere_near,56
a_page_turner,56
he_finds,56
action_scenes,56
get_tired,56
tell_us,56
bad_guy,56
previous_books,56
you_got_ta,56
nearly_impossible,56
near_future,56
very_readable,56
linkin_park,56
second_season,56
falls_off,56
directed_by,56
the_new_york,55
action_packed,55
having_trouble,55
falling_apart,55
been_waiting,55
upside_down,55
anyone_who_enjoys,55
very_disapointed,55
an_improvement,55
feet_away,55
debut_album,55
shut_down,55
completely_useless,55
same_thing_happened,54
power_cord,54
every_minute,54
fresh_air,54
every_track,54
previous_review,54
well_constructed,54
last_summer,54
old_son,54
higher_quality,54
she_finds,54
warm_up,54
horror_movies,54
curious_about,54
takes_forever,54
an_idiot,54
your_pocket,54
human_beings,54
high_hopes,54
year_warranty,54
thumbs_up,54
suffer_from,54
could_hardly,54
las_vegas,54
audio_quality,54
based_upon,54
checked_out,54
front_cover,53
hard_core,53
few_days_ago,53
price_tag,53
bother_me,53
attempts_at,53
numerous_times,53
volume_control,53
gave_us,53
every_chapter,53
had_gotten,53
wore_out,52
very_attractive,52
no_clue,52
am_an_avid,52
complaining_about,52
fell_asleep,52
an_inexpensive,52
inspired_by,52
lots_of_fun,52
year_later,52
fisher_price,52
having_problems,52
production_values,52
grew_up_with,52
removed_from,52
very_uncomfortable,52
fall_into,52
let_face,52
these_gloves,52
fit_perfectly,52
wound_up,52
fast_shipping,52
puts_out,52
holding_up,51
few_weeks_ago,51
los_angeles,51
few_bucks,51
same_results,51
every_word,51
dont_waste,51
any_further,51
unfamiliar_with,51
ink_cartridges,51
brand_name,51
lucky_enough,51
crystal_clear,51
my_yr,51
last_month,51
watered_down,51
several_hours,51
did_bother,51
great_resource,51
taught_me,51
regular_basis,51
come_alive,51
limp_bizkit,51
emphasis_on,51
died_after,51
unless_your,51
wondering_why,50
every_aspect,50
birthday_gift,50
hardly_any,50
complained_about,50
couple_weeks,50
sound_effects,50
each_character,50
does_contain,50
feel_sorry,50
few_chapters,50
four_years,50
return_shipping,50
dont_waste_your_money,50
case_studies,50
already_knew,50
everyday_life,50
created_by,50
sung_by,50
stopped_reading,49
remote_control,49
perfect_fit,49
more_realistic,49
turns_into,49
extended_version,49
negative_stars,49
his_usual,49
rock_band,49
real_disappointment,49
an_instant,49
caused_by,49
write_reviews,49
she_sings,49
inspired_me,49
also_includes,49
reviewer_who,49
care_less,49
out_loud,49
heart_rate,49
bogged_down,49
happy_ending,49
her_career,49
much_longer,49
half_hour,49
amazed_at_how,49
many_levels,49
her_sister,49
big_hit,49
too_tight,49
daily_basis,49
baby_shower,49
can_opener,49
my_bedroom,49
threw_away,49
more_durable,49
plus_side,49
pearl_jam,49
nothing_happens,49
other_artists,49
especially_liked,48
band_members,48
depending_on,48
am_very_satisfied,48
am_amazed,48
rolling_stones,48
picture_shows,48
kindle_edition,48
carry_around,48
every_week,48
ca_figure,48
sturdy_enough,48
anyone_wanting,48
major_disappointment,48
ca_sing,48
plugged_into,48
brings_back,48
phone_calls,47
our_society,47
few_uses,47
couple_times,47
fast_forward,47
vacuum_cleaner,47
phone_number,47
absolutely_amazing,47
by_accident,47
sd_card,47
wo_be_buying,47
daily_use,47
nearly_every,47
blah_blah_blah,47
who_likes,47
shut_up,47
pleasantly_surprised,47
an_odd,47
he_sings,47
big_fat,47
intrigued_by,47
better_understanding,47
highly_reccomend,47
new_testament,47
tv_shows,47
only_negative,47
in_conjunction,47
surround_sound,47
led_zeppelin,47
no_apparent,47
kept_thinking,47
wide_variety,47
run_around,47
laid_out,47
more_reliable,47
english_language,47
nora_roberts,46
tells_us,46
highly_recomend,46
price_range,46
road_trip,46
please_please,46
last_chapter,46
wearing_them,46
two_thumbs,46
only_redeeming,46
our_country,46
old_daughter,46
showed_up,46
half_an_hour,46
fight_scenes,46
saving_grace,46
age_group,46
my_suggestion,45
slow_moving,45
walked_out,45
blood_pressure,45
beautiful_voice,45
being_sold,45
minutes_long,45
week_ago,45
virtually_no,45
totally_useless,45
grocery_store,45
absolutely_horrible,45
peanut_butter,45
shocked_at,45
stand_behind,45
good_news,45
could_be_happier,45
small_amount,45
finally_decided,45
coming_off,45
boxed_set,45
hung_up,45
et_al,45
allowed_me,45
wind_up,45
falls_short,45
journey_through,45
performed_by,45
b_d,45
reviewers_who,45
take_advantage,44
print_quality,44
an_overview,44
running_around,44
home_depot,44
family_member,44
these_bottles,44
an_honest,44
belt_clip,44
broke_down,44
black_sabbath,44
star_review,44
weight_loss,44
quite_possibly,44
george_lucas,44
an_interview,44
timely_fashion,44
punk_rock,44
highly_suggest,44
second_hand,44
least_favorite,44
me_laugh,44
american_idol,44
well_acted,44
lead_character,44
video_store,44
figure_out_why,44
operating_system,44
doctor_who,44
more_complex,44
falls_apart,44
please_let,44
resulted_in,44
and_thought_provoking,43
biggest_problem,43
music_industry,43
video_card,43
dollar_store,43
dance_music,43
slow_down,43
four_months,43
shuts_off,43
better_served,43
coupled_with,43
absolutely_terrible,43
toaster_oven,43
well_packaged,43
an_exceptional,43
elementary_school,43
twenty_years,43
olive_oil,43
told_us,43
my_humble,43
main_problem,43
hair_dryer,43
de_los,43
called_customer_service,43
an_editor,43
an_individual,43
blue_ray,43
shorter_than,43
an_update,42
reminds_me,42
these_types,42
these_units,42
within_months,42
practical_advice,42
record_company,42
kidding_me,42
vhs_tape,42
pull_off,42
each_episode,42
loose_ends,42
african_american,42
told_him,42
stand_alone,42
on_pbs,42
grown_up,42
very_convenient,42
build_quality,42
went_ahead,42
ended_up_having,42
romantic_comedy,42
break_down,42
james_patterson,42
unhappy_with,42
wo_stay,42
folks_who,42
thanks_amazon,42
end_result,42
customer_reviews,41
same_mistake,41
murder_mystery,41
straight_through,41
for_starters,41
i_got_ta,41
kept_getting,41
over_priced,41
week_later,41
bad_news,41
story_telling,41
daily_life,41
family_guy,41
anne_rice,41
left_side,41
on_youtube,41
guitar_riffs,41
radio_station,41
an_article,41
after_awhile,41
older_kids,41
cant_believe,41
answering_machine,41
while_driving,41
poorly_done,41
several_days,41
other_sources,41
your_fingers,41
extremely_difficult,41
long_run,41
these_boots,41
dark_side,41
full_length,41
checking_out,41
badly_written,41
spent_hours,41
backstreet_boys,41
tom_clancy,41
too_loud,41
explains_how,41
an_unusual,41
serial_killer,41
quite_frankly,41
two_sets,40
instruction_manual,40
item_arrived,40
an_extended,40
simply_amazing,40
your_mouth,40
young_adult,40
politically_correct,40
too_complicated,40
arrived_promptly,40
previous_reviewers,40
deleted_scenes,40
defective_product,40
about_inches,40
past_year,40
second_edition,40
without_giving,40
replacement_parts,40
ranging_from,40
an_opportunity,40
chemistry_between,40
ended_up_returning,40
enjoy_watching,40
please_note,40
their_customers,40
enjoyed_watching,40
birthday_present,40
depending_on_the,40
he_talks,40
blown_away_by,40
strongly_suggest,40
works_as_advertised,40
theme_song,40
right_amount,39
wondering_how,39
bothered_me,39
side_effects,39
per_day,39
guitar_player,39
woke_up,39
fairly_easy,39
definately_recommend,39
caused_me,39
radio_shack,39
never_forget,39
less_than_months,39
last_minute,39
broke_within,39
he_meets,39
see_what_happens,39
ear_buds,39
supported_by,39
blew_me_away,39
year_old_loves,39
johnny_cash,39
come_apart,39
thirty_years,39
black_decker,39
cares_about,39
post_office,39
personal_life,39
little_longer,39
supporting_cast,39
no_excuse,39
another_pair,39
wasted_money,39
new_york_city,39
michael_jackson,39
an_oscar,39
differences_between,39
their_heads,39
got_bored,39
took_forever,39
much_else,39
most_popular,39
an_upgrade,39
falls_flat,39
image_quality,39
an_intelligent,39
time_consuming,39
but_who_cares,38
an_electric,38
tiny_bit,38
giving_us,38
an_amateur,38
thinking_about_buying,38
doesnt_work,38
last_forever,38
lacks_any,38
cast_iron,38
am_afraid,38
bruce_lee,38
white_noise,38
girl_named,38
lasted_years,38
let_hope,38
chock_full_of,38
his_girlfriend,38
an_essential,38
horror_film,38
third_party,38
been_listening,38
started_watching,38
young_girls,38
west_coast,38
exactly_as_described,38
cell_phones,38
got_tired,38
fine_job,38
low_rating,38
solo_album,38
never_get_tired,38
new_wave,38
mean_come,38
rooting_for,38
sherlock_holmes,38
original_recordings,38
before_ordering,38
faced_with,38
surrounded_by,38
stop_working,38
wo_be_sorry,38
an_ordinary,38
figuring_out,38
comes_close,38
middle_east,38
service_center,38
let_me_start,38
something_special,38
depend_on,38
top_ten,38
no_limit,37
our_favorite,37
new_orleans,37
started_playing,37
felt_compelled,37
ruined_by,37
describe_how,37
down_hill,37
photo_paper,37
rice_cooker,37
early_days,37
san_francisco,37
car_charger,37
different_styles,37
yrs_old,37
revolves_around,37
within_hours,37
expiration_date,37
reminded_me,37
bread_machine,37
perfect_example,37
college_student,37
next_door,37
its_purpose,37
working_fine,37
most_importantly,37
as_an_avid,37
resident_evil,37
amazes_me,37
your_brain,37
alarm_clock,37
caveat_emptor,37
creative_writing,36
cold_war,36
among_others,36
user_interface,36
john_grisham,36
wish_list,36
internet_connection,36
an_intriguing,36
easier_than,36
harder_than,36
name_brand,36
sum_up,36
an_excuse,36
dozen_times,36
gets_stuck,36
extremely_poor,36
too_seriously,36
louder_than,36
young_child,36
about_halfway,36
rock_n_roll,36
wireless_router,36
sesame_street,36
explain_why,36
cant_wait,36
walk_around,36
explain_how,36
younger_kids,36
young_boy,36
gon_na_be,36
singing_along,36
an_external,36
tai_chi,36
bon_jovi,36
really_enjoys,36
falls_into,36
heats_up,36
no_redeeming,36
came_apart,36
extra_features,36
chances_are,36
does_deserve,36
year_old_grandson,36
sci_fi,36
south_africa,36
michael_moore,36
ac_adapter,36
pop_culture,36
please_do_waste,36
plastic_bag,36
perfect_gift,36
trash_trash_trash_trash,36
super_easy,35
hours_later,35
cross_between,35
truly_amazing,35
weeks_later,35
does_require,35
any_parent,35
second_disc,35
ca_comment,35
without_question,35
go_figure,35
sensitive_skin,35
other_sites,35
cared_about,35
glimpse_into,35
their_debut,35
one_dimensional,35
true_crime,35
finds_out,35
kung_fu,35
fascinated_by,35
hdmi_cable,35
am_sending,35
of_new_york,35
full_screen,35
thumbs_down,35
has_fallen,35
clear_plastic,35
reminds_us,35
action_sequences,35
ive_ever,35
diagnosed_with,35
john_wayne,35
regret_buying,35
for_my_yr,35
romance_between,35
usb_cable,35
he_describes,35
repair_shop,35
half_way,35
bonus_tracks,35
old_testament,35
high_level,35
accompanied_by,35
seven_years,35
be_entertained,35
below_average,35
connection_between,35
van_halen,35
water_pressure,35
absolutely_wonderful,35
improve_your,35
funny_moments,35
she_thinks,35
live_performance,35
release_date,35
stumbled_upon,34
who_thinks,34
wrapped_up,34
fm_transmitter,34
hardly_worth,34
influenced_by,34
an_epic,34
thank_you_very,34
has_performed,34
within_weeks,34
your_own_risk,34
poor_job,34
garage_sale,34
sooner_than,34
stop_making,34
recommend_purchasing,34
dvd_format,34
